Season,PlayerID,PlayerName,Team,GamesPlayed,AtBats,Runs,Hits,HomeRuns,RBIs,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS
2002,150093,Alfonso Soriano,New York Yankees,156.0,696.0,128.0,209,39,102,41,23,157,0.3,0.332,0.547,0.879
2003,150093,Alfonso Soriano,New York Yankees,156.0,682.0,114.0,198,38,91,35,38,130,0.29,0.338,0.525,0.863
2004,150093,Alfonso Soriano,Texas Rangers,145.0,608.0,77.0,170,28,91,18,33,121,0.28,0.324,0.484,0.808
2005,150093,Alfonso Soriano,Texas Rangers,156.0,637.0,102.0,171,36,104,30,33,125,0.268,0.309,0.512,0.821
2006,150093,Alfonso Soriano,Washington Nationals,159.0,647.0,119.0,179,46,95,41,67,160,0.277,0.351,0.56,0.911
2007,150093,Alfonso Soriano,Chicago Cubs,135.0,579.0,97.0,173,33,70,19,31,130,0.299,0.337,0.56,0.897
2008,150093,Alfonso Soriano,Chicago Cubs,109.0,453.0,76.0,127,29,75,19,43,103,0.28,0.344,0.532,0.876
2009,150093,Alfonso Soriano,Chicago Cubs,117.0,477.0,64.0,115,20,55,9,40,118,0.241,0.303,0.423,0.726
2010,150093,Alfonso Soriano,Chicago Cubs,147.0,496.0,67.0,128,24,79,5,45,123,0.258,0.322,0.496,0.818
2011,150093,Alfonso Soriano,Chicago Cubs,137.0,475.0,50.0,116,26,88,2,27,113,0.244,0.289,0.469,0.758
2012,150093,Alfonso Soriano,Chicago Cubs,151.0,561.0,68.0,147,32,108,6,44,153,0.262,0.322,0.499,0.821
2024,18551,Ali Sanchez,MIA,,,,14,0,4,2,4,24,0.167,0.211,0.19,0.402
2024,27604,Alika Williams,PIT,,,,18,0,5,1,3,22,0.207,0.242,0.299,0.541
2012,501800,Allen Craig,St. Louis Cardinals,119.0,469.0,76.0,144,22,92,2,37,89,0.307,0.354,0.522,0.876
2013,501800,Allen Craig,St. Louis Cardinals,134.0,508.0,71.0,160,13,97,2,40,100,0.315,0.373,0.457,0.83
2018,642708,Amed Rosario,New York Mets,154.0,554.0,76.0,142,9,51,24,29,119,0.256,0.295,0.381,0.676
2019,642708,Amed Rosario,New York Mets,157.0,616.0,75.0,177,15,72,19,31,124,0.287,0.323,0.432,0.755
2021,642708,Amed Rosario,Cleveland Indians,141.0,550.0,77.0,155,11,57,13,31,120,0.282,0.321,0.409,0.73
2022,642708,Amed Rosario,Cleveland Guardians,153.0,637.0,86.0,180,11,71,18,25,111,0.283,0.312,0.403,0.715
2024,15518,Amed Rosario,- - -,,,,93,3,32,13,9,73,0.28,0.306,0.38,0.686
2025,15518,Amed Rosario,WSN,,,,25,2,12,1,2,12,0.305,0.337,0.439,0.776
2007,444843,Andre Ethier,Los Angeles Dodgers,153.0,447.0,50.0,127,13,64,0,46,68,0.284,0.35,0.452,0.802
2008,444843,Andre Ethier,Los Angeles Dodgers,141.0,525.0,90.0,160,20,77,6,59,88,0.305,0.375,0.51,0.885
2009,444843,Andre Ethier,Los Angeles Dodgers,160.0,596.0,92.0,162,31,106,6,72,116,0.272,0.361,0.508,0.869
2010,444843,Andre Ethier,Los Angeles Dodgers,139.0,517.0,71.0,151,23,82,2,59,102,0.292,0.364,0.493,0.857
2011,444843,Andre Ethier,Los Angeles Dodgers,135.0,487.0,67.0,142,11,62,0,58,103,0.292,0.368,0.421,0.789
2012,444843,Andre Ethier,Los Angeles Dodgers,149.0,556.0,79.0,158,20,89,2,50,124,0.284,0.351,0.46,0.811
2013,444843,Andre Ethier,Los Angeles Dodgers,142.0,482.0,54.0,131,12,52,4,61,95,0.272,0.36,0.423,0.783
2013,592743,Andrelton Simmons,Atlanta Braves,157.0,606.0,76.0,150,17,59,6,40,55,0.248,0.296,0.396,0.692
2014,592743,Andrelton Simmons,Atlanta Braves,146.0,540.0,44.0,132,7,46,4,32,60,0.244,0.286,0.331,0.617
2015,592743,Andrelton Simmons,Atlanta Braves,147.0,535.0,60.0,142,4,44,5,39,48,0.265,0.321,0.338,0.659
2017,592743,Andrelton Simmons,Los Angeles Angels,158.0,589.0,77.0,164,14,69,19,47,67,0.278,0.331,0.421,0.752
2018,592743,Andrelton Simmons,Los Angeles Angels,146.0,554.0,68.0,162,11,75,10,35,44,0.292,0.337,0.417,0.754
2024,21797,Andres Chaparro,WSN,,,,26,4,15,1,7,24,0.215,0.28,0.413,0.694
2000,114526,Andres Galarraga,Atlanta Braves,141.0,494.0,67.0,149,28,100,3,36,126,0.302,0.369,0.526,0.895
2024,19950,Andres Gimenez,CLE,,,,147,9,63,30,26,97,0.252,0.298,0.34,0.638
2025,19950,Andres Gimenez,TOR,,,,25,3,10,9,10,26,0.195,0.273,0.305,0.577
2010,400083,Andres Torres,San Francisco Giants,139.0,507.0,84.0,136,16,63,26,56,128,0.268,0.343,0.479,0.822
2017,643217,Andrew Benintendi,Boston Red Sox,151.0,573.0,84.0,155,20,90,20,70,112,0.271,0.352,0.424,0.776
2018,643217,Andrew Benintendi,Boston Red Sox,148.0,579.0,103.0,168,16,87,21,71,106,0.29,0.366,0.465,0.831
2019,643217,Andrew Benintendi,Boston Red Sox,138.0,541.0,72.0,144,13,68,10,59,140,0.266,0.343,0.431,0.774
2021,643217,Andrew Benintendi,Kansas City Royals,134.0,493.0,63.0,136,17,73,8,36,97,0.276,0.324,0.442,0.766
2022,643217,Andrew Benintendi,New York Yankees,126.0,461.0,54.0,140,5,51,8,52,77,0.304,0.373,0.399,0.772
2023,643217,Andrew Benintendi,Chicago White Sox,151.0,562.0,72.0,147,5,45,13,52,89,0.262,0.326,0.356,0.682
